;preposition;Example;regular/irregular;Presente;;;;;;Pretérito Perfeito;;;;;;Pretérito Imperfeito;;;;;;Pretérito mais-que-perfeito;;;;;;Futuro do Presente;;;;;;Subjuntivo Presente;;;;;;Subjuntivo Pretérito Imperfeito;;;;;;Subjuntivo Futuro;;;;;;Infinitivo Pessoal;;;;;;Futuro do Pretérito;;;;;;Imperativo Afirmativo;;;;;Imperativo Negativo;;;;;Gerúndio;Particípio passado
deixar;;Mãe, você deixa eu jogar vídeo game?;R;deixo;deixas;deixa;deixamos;deixais;deixam;deixei;deixaste;deixou;deixámos;deixastes;deixaram;deixava;deixavas;deixava;deixávamos;deixáveis;deixavam;deixara;deixaras;deixara;deixáramos;deixáreis;deixaram;deixarei;deixarás;deixará;deixaremos;deixareis;deixarão;deixe;deixes;deixe;deixemos;deixeis;deixem;deixasse;deixasses;deixasse;deixássemos;deixásseis;deixassem;deixar;deixares;deixar;deixarmos;deixardes;deixarem;deixar;deixares;deixar;deixarmos;deixardes;deixarem;deixaria;deixarias;deixaria;deixaríamos;deixaríeis;deixariam;deixa;deixe;deixemos;deixai;deixem;deixes;deixe;deixemos;deixeis;deixem;deixando;deixado
encontrar;;Eu sempre encontro muitas pessoas caminhando na praia.;R;encontro;encontras;encontra;encontramos;encontrais;encontram;encontrei;encontraste;encontrou;encontrámos;encontrastes;encontraram;encontrava;encontravas;encontrava;encontrávamos;encontráveis;encontravam;encontrara;encontraras;encontrara;encontráramos;encontráreis;encontraram;encontrarei;encontrarás;encontrará;encontraremos;encontrareis;encontrarão;encontre;encontres;encontre;encontremos;encontreis;encontrem;encontrasse;encontrasses;encontrasse;encontrássemos;encontrásseis;encontrassem;encontrar;encontrares;encontrar;encontrarmos;encontrardes;encontrarem;encontrar;encontrares;encontrar;encontrarmos;encontrardes;encontrarem;encontraria;encontrarias;encontraria;encontraríamos;encontraríeis;encontrariam;encontra;encontre;encontremos;encontrai;encontrem;encontres;encontre;encontremos;encontreis;encontrem;encontrando;encontrado
levar;;Ele leva os filhos à escola.;R;levo;levas;leva;levamos;levais;levam;levei;levaste;levou;levámos;levastes;levaram;levava;levavas;levava;levávamos;leváveis;levavam;levara;levaras;levara;leváramos;leváreis;levaram;levarei;levarás;levará;levaremos;levareis;levarão;leve;leves;leve;levemos;leveis;levem;levasse;levasses;levasse;levássemos;levásseis;levassem;levar;levares;levar;levarmos;levardes;levarem;levar;levares;levar;levarmos;levardes;levarem;levaria;levarias;levaria;levaríamos;levaríeis;levariam;leva;leve;levemos;levai;levem;leves;leve;levemos;leveis;levem;levando;levado
começar;a;Eu começo o trabalho em março.;R;começo;começas;começa;começamos;começais;começam;comecei;começaste;começou;comecámos;começastes;começaram;começava;começavas;começava;comecávamos;comecáveis;começavam;começara;começaras;começara;comecáramos;comecáreis;começaram;começarei;começarás;começará;começaremos;começareis;começarão;comece;comeces;comece;comecemos;comeceis;comecem;começasse;começasses;começasse;comecássemos;comecásseis;começassem;começar;começares;começar;começarmos;começardes;começarem;começar;começares;começar;começarmos;começardes;começarem;começaria;começarias;começaria;começaríamos;começaríeis;começariam;começa;comece;comecemos;começai;comecem;comeces;comece;comecemos;comeceis;comecem;começando;começado
partir;;Parto também com o grupo.;R;parto;partes;parte;partimos;partis;partem;parti;partiste;partiu;partimos;partistes;partiram;partia;partias;partia;partíamos;partíeis;partiam;partira;partiras;partira;partíramos;partíreis;partiram;partirei;partirás;partirá;partiremos;partireis;partirão;parta;partas;parta;partamos;partais;partam;partisse;partisses;partisse;partíssemos;partísseis;partissem;partir;partires;partir;partirmos;partirdes;partirem;partir;partires;partir;partirmos;partirdes;partirem;partiria;partirias;partiria;partiríamos;partiríeis;partiriam;parte;parta;partamos;parti;partam;partas;parta;partamos;partais;partam;partindo;partido
pensar;;Penso em você o tempo todo.;R;penso;pensas;pensa;pensamos;pensais;pensam;pensei;pensaste;pensou;pensámos;pensastes;pensaram;pensava;pensavas;pensava;pensávamos;pensáveis;pensavam;pensara;pensaras;pensara;pensáramos;pensáreis;pensaram;pensarei;pensarás;pensará;pensaremos;pensareis;pensarão;pense;penses;pense;pensemos;penseis;pensem;pensasse;pensasses;pensasse;pensássemos;pensásseis;pensassem;pensar;pensares;pensar;pensarmos;pensardes;pensarem;pensar;pensares;pensar;pensarmos;pensardes;pensarem;pensaria;pensarias;pensaria;pensaríamos;pensaríeis;pensariam;pensa;pense;pensemos;pensai;pensem;penses;pense;pensemos;penseis;pensem;pensando;pensado
parecer;;Vocês se parecem muito!;R;pareço;pareces;parece;parecemos;pareceis;parecem;pareci;pareceste;pareceu;parecemos;parecestes;pareceram;parecia;parecias;parecia;parecíamos;parecíeis;pareciam;parecera;pareceras;parecera;parecêramos;parecêreis;pareceram;parecerei;parecerás;parecerá;pareceremos;parecereis;parecerão;pareça;pareças;pareça;pareçamos;pareçais;pareçam;parecesse;parecesses;parecesse;parecêssemos;parecêsseis;parecessem;parecer;pareceres;parecer;parecermos;parecerdes;parecerem;parecer;pareceres;parecer;parecermos;parecerdes;parecerem;pareceria;parecerias;pareceria;pareceríamos;pareceríeis;pareceriam;parece;pareça;pareçamos;parecei;pareçam;pareças;pareça;pareçamos;pareçais;pareçam;parecendo;parecido
apresentar;;;R;apresento;apresentas;apresenta;apresentamos;apresentais;apresentam;apresentei;apresentaste;apresentou;apresentámos;apresentastes;apresentaram;apresentava;apresentavas;apresentava;apresentávamos;apresentáveis;apresentavam;apresentara;apresentaras;apresentara;apresentáramos;apresentáreis;apresentaram;apresentarei;apresentarás;apresentará;apresentaremos;apresentareis;apresentarão;apresente;apresentes;apresente;apresentemos;apresenteis;apresentem;apresentasse;apresentasses;apresentasse;apresentássemos;apresentásseis;apresentassem;apresentar;apresentares;apresentar;apresentarmos;apresentardes;apresentarem;apresentar;apresentares;apresentar;apresentarmos;apresentardes;apresentarem;apresentaria;apresentarias;apresentaria;apresentaríamos;apresentaríeis;apresentariam;apresenta;apresente;apresentemos;apresentai;apresentem;apresentes;apresente;apresentemos;apresenteis;apresentem;apresentando;apresentado
olhar;;;R;olho;olhas;olha;olhamos;olhais;olham;olhei;olhaste;olhou;olhámos;olhastes;olharam;olhava;olhavas;olhava;olhávamos;olháveis;olhavam;olhara;olharas;olhara;olháramos;olháreis;olharam;olharei;olharás;olhará;olharemos;olhareis;olharão;olhe;olhes;olhe;olhemos;olheis;olhem;olhasse;olhasses;olhasse;olhássemos;olhásseis;olhassem;olhar;olhares;olhar;olharmos;olhardes;olharem;olhar;olhares;olhar;olharmos;olhardes;olharem;olharia;olharias;olharia;olharíamos;olharíeis;olhariam;olha;olhe;olhemos;olhai;olhem;olhes;olhe;olhemos;olheis;olhem;olhando;olhado
tornar;;;R;torno;tornas;torna;tornamos;tornais;tornam;tornei;tornaste;tornou;tornámos;tornastes;tornaram;tornava;tornavas;tornava;tornávamos;tornáveis;tornavam;tornara;tornaras;tornara;tornáramos;tornáreis;tornaram;tornarei;tornarás;tornará;tornaremos;tornareis;tornarão;torne;tornes;torne;tornemos;torneis;tornem;tornasse;tornasses;tornasse;tornássemos;tornásseis;tornassem;tornar;tornares;tornar;tornarmos;tornardes;tornarem;tornar;tornares;tornar;tornarmos;tornardes;tornarem;tornaria;tornarias;tornaria;tornaríamos;tornaríeis;tornariam;torna;torne;tornemos;tornai;tornem;tornes;torne;tornemos;torneis;tornem;tornando;tornado
voltar;;Quando você vai voltar?;R;volto;voltas;volta;voltamos;voltais;voltam;voltei;voltaste;voltou;voltámos;voltastes;voltaram;voltava;voltavas;voltava;voltávamos;voltáveis;voltavam;voltara;voltaras;voltara;voltáramos;voltáreis;voltaram;voltarei;voltarás;voltará;voltaremos;voltareis;voltarão;volte;voltes;volte;voltemos;volteis;voltem;voltasse;voltasses;voltasse;voltássemos;voltásseis;voltassem;voltar;voltares;voltar;voltarmos;voltardes;voltarem;voltar;voltares;voltar;voltarmos;voltardes;voltarem;voltaria;voltarias;voltaria;voltaríamos;voltaríeis;voltariam;volta;volte;voltemos;voltai;voltem;voltes;volte;voltemos;volteis;voltem;voltando;voltado
achar;;;R;acho;achas;acha;achamos;achais;acham;achei;achaste;achou;achámos;achastes;acharam;achava;achavas;achava;achávamos;acháveis;achavam;achara;acharas;achara;acháramos;acháreis;acharam;acharei;acharás;achará;acharemos;achareis;acharão;ache;aches;ache;achemos;acheis;achem;achasse;achasses;achasse;achássemos;achásseis;achassem;achar;achares;achar;acharmos;achardes;acharem;achar;achares;achar;acharmos;achardes;acharem;acharia;acharias;acharia;acharíamos;acharíeis;achariam;acha;ache;achemos;achai;achem;aches;ache;achemos;acheis;achem;achando;achado
existir;;;R;existo;existes;existe;existimos;existis;existem;existi;exististe;existiu;existimos;exististes;existiram;existia;existias;existia;existíamos;existíeis;existiam;existira;existiras;existira;existíramos;existíreis;existiram;existirei;existirás;existirá;existiremos;existireis;existirão;exista;existas;exista;existamos;existais;existam;existisse;existisses;existisse;existíssemos;existísseis;existissem;existir;existires;existir;existirmos;existirdes;existirem;existir;existires;existir;existirmos;existirdes;existirem;existiria;existirias;existiria;existiríamos;existiríeis;existiriam;existe;exista;existamos;existi;existam;existas;exista;existamos;existais;existam;existindo;existido
entrar;;Onde você entra essa galaria?;R;entro;entras;entra;entramos;entrais;entram;entrei;entraste;entrou;entrámos;entrastes;entraram;entrava;entravas;entrava;entrávamos;entráveis;entravam;entrara;entraras;entrara;entráramos;entráreis;entraram;entrarei;entrarás;entrará;entraremos;entrareis;entrarão;entre;entres;entre;entremos;entreis;entrem;entrasse;entrasses;entrasse;entrássemos;entrásseis;entrassem;entrar;entrares;entrar;entrarmos;entrardes;entrarem;entrar;entrares;entrar;entrarmos;entrardes;entrarem;entraria;entrarias;entraria;entraríamos;entraríeis;entrariam;entra;entre;entremos;entrai;entrem;entres;entre;entremos;entreis;entrem;entrando;entrado
chamar;;;R;chamo;chamas;chama;chamamos;chamais;chamam;chamei;chamaste;chamou;chamámos;chamastes;chamaram;chamava;chamavas;chamava;chamávamos;chamáveis;chamavam;chamara;chamaras;chamara;chamáramos;chamáreis;chamaram;chamarei;chamarás;chamará;chamaremos;chamareis;chamarão;chame;chames;chame;chamemos;chameis;chamem;chamasse;chamasses;chamasse;chamássemos;chamásseis;chamassem;chamar;chamares;chamar;chamarmos;chamardes;chamarem;chamar;chamares;chamar;chamarmos;chamardes;chamarem;chamaria;chamarias;chamaria;chamaríamos;chamaríeis;chamariam;chama;chame;chamemos;chamai;chamem;chames;chame;chamemos;chameis;chamem;chamando;chamado
considerar;;;R;considero;consideras;considera;consideramos;considerais;consideram;considerei;consideraste;considerou;considerámos;considerastes;consideraram;considerava;consideravas;considerava;considerávamos;consideráveis;consideravam;considerara;consideraras;considerara;consideráramos;consideráreis;consideraram;considerarei;considerarás;considerará;consideraremos;considerareis;considerarão;considere;consideres;considere;consideremos;considereis;considerem;considerasse;considerasses;considerasse;considerássemos;considerásseis;considerassem;considerar;considerares;considerar;considerarmos;considerardes;considerarem;considerar;considerares;considerar;considerarmos;considerardes;considerarem;consideraria;considerarias;consideraria;consideraríamos;consideraríeis;considerariam;considera;considere;consideremos;considerai;considerem;consideres;considere;consideremos;considereis;considerem;considerando;considerado
continuar;;;R;continuo;continuas;continua;continuamos;continuais;continuam;continuei;continuaste;continuou;continuámos;continuastes;continuaram;continuava;continuavas;continuava;continuávamos;continuáveis;continuavam;continuara;continuaras;continuara;continuáramos;continuáreis;continuaram;continuarei;continuarás;continuará;continuaremos;continuareis;continuarão;continue;continues;continue;continuemos;continueis;continuem;continuasse;continuasses;continuasse;continuássemos;continuásseis;continuassem;continuar;continuares;continuar;continuarmos;continuardes;continuarem;continuar;continuares;continuar;continuarmos;continuardes;continuarem;continuaria;continuarias;continuaria;continuaríamos;continuaríeis;continuariam;continua;continue;continuemos;continuai;continuem;continues;continue;continuemos;continueis;continuem;continuando;continuado
viver;;;R;vivo;vives;vive;vivemos;viveis;vivem;vivi;viveste;viveu;vivemos;vivestes;viveram;vivia;vivias;vivia;vivíamos;vivíeis;viviam;vivera;viveras;vivera;vivêramos;vivêreis;viveram;viverei;viverás;viverá;viveremos;vivereis;viverão;viva;vivas;viva;vivamos;vivais;vivam;vivesse;vivesses;vivesse;vivêssemos;vivêsseis;vivessem;viver;viveres;viver;vivermos;viverdes;viverem;viver;viveres;viver;vivermos;viverdes;viverem;viveria;viverias;viveria;viveríamos;viveríeis;viveriam;vive;viva;vivamos;vivei;vivam;vivas;viva;vivamos;vivais;vivam;vivendo;vivido
tomar;;Eu tomo aulas de jiu-jitso toda sexta-feira.;R;tomo;tomas;toma;tomamos;tomais;tomam;tomei;tomaste;tomou;tomámos;tomastes;tomaram;tomava;tomavas;tomava;tomávamos;tomáveis;tomavam;tomara;tomaras;tomara;tomáramos;tomáreis;tomaram;tomarei;tomarás;tomará;tomaremos;tomareis;tomarão;tome;tomes;tome;tomemos;tomeis;tomem;tomasse;tomasses;tomasse;tomássemos;tomásseis;tomassem;tomar;tomares;tomar;tomarmos;tomardes;tomarem;tomar;tomares;tomar;tomarmos;tomardes;tomarem;tomaria;tomarias;tomaria;tomaríamos;tomaríeis;tomariam;toma;tome;tomemos;tomai;tomem;tomes;tome;tomemos;tomeis;tomem;tomando;tomado
acabar;de;;R;acabo;acabas;acaba;acabamos;acabais;acabam;acabei;acabaste;acabou;acabámos;acabastes;acabaram;acabava;acabavas;acabava;acabávamos;acabáveis;acabavam;acabara;acabaras;acabara;acabáramos;acabáreis;acabaram;acabarei;acabarás;acabará;acabaremos;acabareis;acabarão;acabe;acabes;acabe;acabemos;acabeis;acabem;acabasse;acabasses;acabasse;acabássemos;acabásseis;acabassem;acabar;acabares;acabar;acabarmos;acabardes;acabarem;acabar;acabares;acabar;acabarmos;acabardes;acabarem;acabaria;acabarias;acabaria;acabaríamos;acabaríeis;acabariam;acaba;acabe;acabemos;acabai;acabem;acabes;acabe;acabemos;acabeis;acabem;acabando;acabado
receber;;;R;recebo;recebes;recebe;recebemos;recebeis;recebem;recebi;recebeste;recebeu;recebemos;recebestes;receberam;recebia;recebias;recebia;recebíamos;recebíeis;recebiam;recebera;receberas;recebera;recebêramos;recebêreis;receberam;receberei;receberás;receberá;receberemos;recebereis;receberão;receba;recebas;receba;recebamos;recebais;recebam;recebesse;recebesses;recebesse;recebêssemos;recebêsseis;recebessem;receber;receberes;receber;recebermos;receberdes;receberem;receber;receberes;receber;recebermos;receberdes;receberem;receberia;receberias;receberia;receberíamos;receberíeis;receberiam;recebe;receba;recebamos;recebei;recebam;recebas;receba;recebamos;recebais;recebam;recebendo;recebido
adorar;;Ela adora dançar.;R;adoro;adoras;adora;adoramos;adorais;adoram;adorei;adoraste;adorou;adorámos;adorastes;adoraram;adorava;adoravas;adorava;adorávamos;adoráveis;adoravam;adorara;adoraras;adorara;adoráramos;adoráreis;adoraram;adorarei;adorarás;adorará;adoraremos;adorareis;adorarão;adore;adores;adore;adoremos;adoreis;adorem;adorasse;adorasses;adorasse;adorássemos;adorásseis;adorassem;adorar;adorares;adorar;adorarmos;adorardes;adorarem;adorar;adorares;adorar;adorarmos;adorardes;adorarem;adoraria;adorarias;adoraria;adoraríamos;adoraríeis;adorariam;adora;adore;adoremos;adorai;adorem;adores;adore;adoremos;adoreis;adorem;adorando;adorado
ajudar;;Você pode me ajudar?;R;ajudo;ajudas;ajuda;ajudamos;ajudais;ajudam;ajudei;ajudaste;ajudou;ajudámos;ajudastes;ajudaram;ajudava;ajudavas;ajudava;ajudávamos;ajudáveis;ajudavam;ajudara;ajudaras;ajudara;ajudáramos;ajudáreis;ajudaram;ajudarei;ajudarás;ajudará;ajudaremos;ajudareis;ajudarão;ajude;ajudes;ajude;ajudemos;ajudeis;ajudem;ajudasse;ajudasses;ajudasse;ajudássemos;ajudásseis;ajudassem;ajudar;ajudares;ajudar;ajudarmos;ajudardes;ajudarem;ajudar;ajudares;ajudar;ajudarmos;ajudardes;ajudarem;ajudaria;ajudarias;ajudaria;ajudaríamos;ajudaríeis;ajudariam;ajuda;ajude;ajudemos;ajudai;ajudem;ajudes;ajude;ajudemos;ajudeis;ajudem;ajudando;ajudado
aprender;;Eu aprendo rápido!;R;aprendo;aprendes;aprende;aprendemos;aprendeis;aprendem;aprendi;aprendeste;aprendeu;aprendemos;aprendestes;aprenderam;aprendia;aprendias;aprendia;aprendíamos;aprendíeis;aprendiam;aprendera;aprenderas;aprendera;aprendêramos;aprendêreis;aprenderam;aprenderei;aprenderás;aprenderá;aprenderemos;aprendereis;aprenderão;aprenda;aprendas;aprenda;aprendamos;aprendais;aprendam;aprendesse;aprendesses;aprendesse;aprendêssemos;aprendêsseis;aprendessem;aprender;aprenderes;aprender;aprendermos;aprenderdes;aprenderem;aprender;aprenderes;aprender;aprendermos;aprenderdes;aprenderem;aprenderia;aprenderias;aprenderia;aprenderíamos;aprenderíeis;aprenderiam;aprende;aprenda;aprendamos;aprendei;aprendam;aprendas;aprenda;aprendamos;aprendais;aprendam;aprendendo;aprendido
beber;;Eu bebo muita água todo dia.;R;bebo;bebes;bebe;bebemos;bebeis;bebem;bebi;bebeste;bebeu;bebemos;bebestes;beberam;bebia;bebias;bebia;bebíamos;bebíeis;bebiam;bebera;beberas;bebera;bebêramos;bebêreis;beberam;beberei;beberás;beberá;beberemos;bebereis;beberão;beba;bebas;beba;bebamos;bebais;bebam;bebesse;bebesses;bebesse;bebêssemos;bebêsseis;bebessem;beber;beberes;beber;bebermos;beberdes;beberem;beber;beberes;beber;bebermos;beberdes;beberem;beberia;beberias;beberia;beberíamos;beberíeis;beberiam;bebe;beba;bebamos;bebei;bebam;bebas;beba;bebamos;bebais;bebam;bebendo;bebido
comer;;Como arroz e feijão todos os dias.;R;como;comes;come;comemos;comeis;comem;comi;comeste;comeu;comemos;comestes;comeram;comia;comias;comia;comíamos;comíeis;comiam;comera;comeras;comera;comêramos;comêreis;comeram;comerei;comerás;comerá;comeremos;comereis;comerão;coma;comas;coma;comamos;comais;comam;comesse;comesses;comesse;comêssemos;comêsseis;comessem;comer;comeres;comer;comermos;comerdes;comerem;comer;comeres;comer;comermos;comerdes;comerem;comeria;comerias;comeria;comeríamos;comeríeis;comeriam;come;coma;comamos;comei;comam;comas;coma;comamos;comais;comam;comendo;comido
comprar;;Compro roupa na loja de moda.;R;compro;compras;compra;compramos;comprais;compram;comprei;compraste;comprou;comprámos;comprastes;compraram;comprava;compravas;comprava;comprávamos;compráveis;compravam;comprara;compraras;comprara;compráramos;compráreis;compraram;comprarei;comprarás;comprará;compraremos;comprareis;comprarão;compre;compres;compre;compremos;compreis;comprem;comprasse;comprasses;comprasse;comprássemos;comprásseis;comprassem;comprar;comprares;comprar;comprarmos;comprardes;comprarem;comprar;comprares;comprar;comprarmos;comprardes;comprarem;compraria;comprarias;compraria;compraríamos;compraríeis;comprariam;compra;compre;compremos;comprai;comprem;compres;compre;compremos;compreis;comprem;comprando;comprado
custar;;Custam quanto essas mangas?;R;custo;custas;custa;custamos;custais;custam;custei;custaste;custou;custámos;custastes;custaram;custava;custavas;custava;custávamos;custáveis;custavam;custara;custaras;custara;custáramos;custáreis;custaram;custarei;custarás;custará;custaremos;custareis;custarão;custe;custes;custe;custemos;custeis;custem;custasse;custasses;custasse;custássemos;custásseis;custassem;custar;custares;custar;custarmos;custardes;custarem;custar;custares;custar;custarmos;custardes;custarem;custaria;custarias;custaria;custaríamos;custaríeis;custariam;custa;custe;custemos;custai;custem;custes;custe;custemos;custeis;custem;custando;custado
dançar;;Ela dança bem!;R;danço;danças;dança;dançamos;dançais;dançam;dancei;dançaste;dançou;dancámos;dançastes;dançaram;dançava;dançavas;dançava;dancávamos;dancáveis;dançavam;dançara;dançaras;dançara;dancáramos;dancáreis;dançaram;dançarei;dançarás;dançará;dançaremos;dançareis;dançarão;dance;dances;dance;dancemos;danceis;dancem;dançasse;dançasses;dançasse;dancássemos;dancásseis;dançassem;dançar;dançares;dançar;dançarmos;dançardes;dançarem;dançar;dançares;dançar;dançarmos;dançardes;dançarem;dançaria;dançarias;dançaria;dançaríamos;dançaríeis;dançariam;dança;dance;dancemos;dançai;dancem;dances;dance;dancemos;danceis;dancem;dançando;dançado
descer;;Onde desço para chegar no shopping?;R;desço;desces;desce;descemos;desceis;descem;desci;desceste;desceu;descemos;descestes;desceram;descia;descias;descia;descíamos;descíeis;desciam;descera;desceras;descera;descêramos;descêreis;desceram;descerei;descerás;descerá;desceremos;descereis;descerão;desça;desças;desça;desçamos;desçais;desçam;descesse;descesses;descesse;descêssemos;descêsseis;descessem;descer;desceres;descer;descermos;descerdes;descerem;descer;desceres;descer;descermos;descerdes;descerem;desceria;descerias;desceria;desceríamos;desceríeis;desceriam;desce;desça;desçamos;descei;desçam;desças;desça;desçamos;desçais;desçam;descendo;descido
experimentar;;Eu experimento o cogumelo se você experimentar a sopa.;R;experimento;experimentas;experimenta;experimentamos;experimentais;experimentam;experimentei;experimentaste;experimentou;experimentámos;experimentastes;experimentaram;experimentava;experimentavas;experimentava;experimentávamos;experimentáveis;experimentavam;experimentara;experimentaras;experimentara;experimentáramos;experimentáreis;experimentaram;experimentarei;experimentarás;experimentará;experimentaremos;experimentareis;experimentarão;experimente;experimentes;experimente;experimentemos;experimenteis;experimentem;experimentasse;experimentasses;experimentasse;experimentássemos;experimentásseis;experimentassem;experimentar;experimentares;experimentar;experimentarmos;experimentardes;experimentarem;experimentar;experimentares;experimentar;experimentarmos;experimentardes;experimentarem;experimentaria;experimentarias;experimentaria;experimentaríamos;experimentaríeis;experimentariam;experimenta;experimente;experimentemos;experimentai;experimentem;experimentes;experimente;experimentemos;experimenteis;experimentem;experimentando;experimentado
funcionar;;Como funciona esse celular, eu não entendo.;R;funciono;funcionas;funciona;funcionamos;funcionais;funcionam;funcionei;funcionaste;funcionou;funcionámos;funcionastes;funcionaram;funcionava;funcionavas;funcionava;funcionávamos;funcionáveis;funcionavam;funcionara;funcionaras;funcionara;funcionáramos;funcionáreis;funcionaram;funcionarei;funcionarás;funcionará;funcionaremos;funcionareis;funcionarão;funcione;funciones;funcione;funcionemos;funcioneis;funcionem;funcionasse;funcionasses;funcionasse;funcionássemos;funcionásseis;funcionassem;funcionar;funcionares;funcionar;funcionarmos;funcionardes;funcionarem;funcionar;funcionares;funcionar;funcionarmos;funcionardes;funcionarem;funcionaria;funcionarias;funcionaria;funcionaríamos;funcionaríeis;funcionariam;funciona;funcione;funcionemos;funcionai;funcionem;funciones;funcione;funcionemos;funcioneis;funcionem;funcionando;funcionado
ligar;;Me liga quando você puder.;I;ligo;ligas;liga;ligamos;ligais;ligam;liguei;ligaste;ligou;ligámos;ligastes;ligaram;ligava;ligavas;ligava;ligávamos;ligáveis;ligavam;ligara;ligaras;ligara;ligáramos;ligáreis;ligaram;ligarei;ligarás;ligará;ligaremos;ligareis;ligarão;ligue;ligues;ligue;liguemos;ligueis;liguem;ligasse;ligasses;ligasse;ligássemos;ligásseis;ligassem;ligar;ligares;ligar;ligarmos;ligardes;ligarem;ligar;ligares;ligar;ligarmos;ligardes;ligarem;ligaria;ligarias;ligaria;ligaríamos;ligaríeis;ligariam;liga;ligue;liguemos;ligai;liguem;ligues;ligue;liguemos;ligueis;liguem;ligando;ligado
morar;;Onde você mora?;R;moro;moras;mora;moramos;morais;moram;morei;moraste;morou;morámos;morastes;moraram;morava;moravas;morava;morávamos;moráveis;moravam;morara;moraras;morara;moráramos;moráreis;moraram;morarei;morarás;morará;moraremos;morareis;morarão;more;mores;more;moremos;moreis;morem;morasse;morasses;morasse;morássemos;morásseis;morassem;morar;morares;morar;morarmos;morardes;morarem;morar;morares;morar;morarmos;morardes;morarem;moraria;morarias;moraria;moraríamos;moraríeis;morariam;mora;more;moremos;morai;morem;mores;more;moremos;moreis;morem;morando;morado
pegar;;Eu pego as malas e me espera no corridor, ok?;I;pego;pegas;pega;pegamos;pegais;pegam;peguei;pegaste;pegou;pegámos;pegastes;pegaram;pegava;pegavas;pegava;pegávamos;pegáveis;pegavam;pegara;pegaras;pegara;pegáramos;pegáreis;pegaram;pegarei;pegarás;pegará;pegaremos;pegareis;pegarão;pegue;pegues;pegue;peguemos;pegueis;peguem;pegasse;pegasses;pegasse;pegássemos;pegásseis;pegassem;pegar;pegares;pegar;pegarmos;pegardes;pegarem;pegar;pegares;pegar;pegarmos;pegardes;pegarem;pegaria;pegarias;pegaria;pegaríamos;pegaríeis;pegariam;pega;pegue;peguemos;pegai;peguem;pegues;pegue;peguemos;pegueis;peguem;pegando;pegado
subir;;Eu subo essa ladeira três vezes por dia.;I;subo;sobes;sobe;subimos;subis;sobem;subi;subiste;subiu;subimos;subistes;subiram;subia;subias;subia;subíamos;subíeis;subiam;subira;subiras;subira;subíramos;subíreis;subiram;subirei;subirás;subirá;subiremos;subireis;subirão;suba;subas;suba;subamos;subais;subam;subisse;subisses;subisse;subíssemos;subísseis;subissem;subir;subires;subir;subirmos;subirdes;subirem;subir;subires;subir;subirmos;subirdes;subirem;subiria;subirias;subiria;subiríamos;subiríeis;subiriam;sobe;suba;subamos;subi;subam;subas;suba;subamos;subais;subam;subindo;subido
vender;;Você vai vender seu carro?;R;vendo;vendes;vende;vendemos;vendeis;vendem;vendi;vendeste;vendeu;vendemos;vendestes;venderam;vendia;vendias;vendia;vendíamos;vendíeis;vendiam;vendera;venderas;vendera;vendêramos;vendêreis;venderam;venderei;venderás;venderá;venderemos;vendereis;venderão;venda;vendas;venda;vendamos;vendais;vendam;vendesse;vendesses;vendesse;vendêssemos;vendêsseis;vendessem;vender;venderes;vender;vendermos;venderdes;venderem;vender;venderes;vender;vendermos;venderdes;venderem;venderia;venderias;venderia;venderíamos;venderíeis;venderiam;vende;venda;vendamos;vendei;vendam;vendas;venda;vendamos;vendais;vendam;vendendo;vendido
viajar;;Eu viajo na quinta-feira para Nove Iorque.;R;viajo;viajas;viaja;viajamos;viajais;viajam;viajei;viajaste;viajou;viajámos;viajastes;viajaram;viajava;viajavas;viajava;viajávamos;viajáveis;viajavam;viajara;viajaras;viajara;viajáramos;viajáreis;viajaram;viajarei;viajarás;viajará;viajaremos;viajareis;viajarão;viaje;viajes;viaje;viajemos;viajeis;viajem;viajasse;viajasses;viajasse;viajássemos;viajásseis;viajassem;viajar;viajares;viajar;viajarmos;viajardes;viajarem;viajar;viajares;viajar;viajarmos;viajardes;viajarem;viajaria;viajarias;viajaria;viajaríamos;viajaríeis;viajariam;viaja;viaje;viajemos;viajai;viajem;viajes;viaje;viajemos;viajeis;viajem;viajando;viajado
andar;;;R;ando;andas;anda;andamos;andais;andam;andei;andaste;andou;andámos;andastes;andaram;andava;andavas;andava;andávamos;andáveis;andavam;andara;andaras;andara;andáramos;andáreis;andaram;andarei;andarás;andará;andaremos;andareis;andarão;ande;andes;ande;andemos;andeis;andem;andasse;andasses;andasse;andássemos;andásseis;andassem;andar;andares;andar;andarmos;andardes;andarem;andar;andares;andar;andarmos;andardes;andarem;andaria;andarias;andaria;andaríamos;andaríeis;andariam;anda;ande;andemos;andai;andem;andes;ande;andemos;andeis;andem;andando;andado
